Nombre del Restaurante,Presupuesto Mínimo
5 Esquinas trattoria,$4600
7 de espada,$3100
Altahabana_Club,$1950
Al Campestre,$2080
Amalfi,$5540
Anillo Habanero,$2450
Antojos,$4983
Asia Cuba,$2997
Atlanta,$2250
Berkana,$2789
Bodegón del Asado,$1815
Bone'Ma 62,$2250
Cafe 4 Lunas,$3550
Aroma de Café,$484
Café D la Esquina,$2750
Cafe Tilin,$2050
Casa Mia,$5550
ChaChaCha,$3630
Coco Blue,$3150
Colesterol 5.1,$1475
Crispy Ckicken,$2250
Decamerón,$3640
Dominica Like,$1720
Doña Alicia,$1375
Donna Almira,$1915
Don Balbino's,$2450
Don Omar,$1360
El Pavo,$1606
El Pelícano,$770
El biky,$1850
El cuarto de tula,$2410
El Farallon,$2332
El Gaban,$8800
El Lechoncito,$2300
El Palenque,$330
El_Templete,$2849
Entabla2,$2470
Esquina D-Fraile ,$3000
Europa,$510
Finca La Pinta,$1870
Fuumiyaki,$2500
Galy Cafe,$2607
Habana Blues,$1110
Heredia,$2200
Jota Jota,$3630
Juanky's Pan,$1205
Kasa Takos,$1430
Kimera,$2090
La Juliana,$2500
Mimosa,$2625
Las Clavellinas ,$5170
Lateral,$2150
La Caribeña,$2350
La Carreta,$1900
La Casa Quinta,$1800
La Chucheria,$1850
La Esquina de Cuba,$3185
La Fela,$2150
La fransesa,$2600
La Lola,$2800
La Marina 1era y 70,$3190
La Novia,$1570
La Paila,$3410
La Patrona,$1300
La Ronda,$980
La ruta de Hemingway,$3400
La Torre de Marfil,$2350
La Vitrola,$1914
La yuya,$2150
Leyendhabana,11 dólares
Doña Lis Pizza,$1050
Los caneyes,$1850
Los Compadres,$1925
Los Nardos,$2123
Mambo 23 y 12,$1950
Marea,$3410
Mar Adentro,$4235
Mercy bar,$2150
Mi Bohio,$1120
MMCafeteria,$2330
Monakeño,$2860
Mythos,$2255
Nel Paradiso,$2308
Obispo 510,$1200
Parrandas Grill Bar,$3000
Pasos Habaneros,$510
Pechatniky,$1490
Ranchon Don Martin,$1925
Ranchon Las Vegas,$2250
Razones y Motivos,$2520
Salsa Mora,$2772
Sapori,$2750
Sonar contigo,$870
Tablazo,$2600
Teniente Rey 360,$1485
Tonyzz Bar,$836
Torre de Marfil,$2310
El Vampirito,$1100
VenaVento,$2530
Villanueva,$1400
Vita Nuova,$2220
